pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.037750600022263825,,0.031047699972987175,0.037750600022263825,1.0038312999531627,1.0038312999531627,1.0038312999531627,1.0038312999531627,1.0369749999372289,2.0037428999785334,2.0037428999785334,3.284232100006193,x,1,1.256546500022523,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,0,1,1,1,,,,,3.3032069000182673,,3.2861254999879748,3.3032069000182673,4.287212199997157,4.287212199997157,4.287212199997157,4.287212199997157,4.303818800020963,5.28704900003504,5.28704900003504,6.591401900048368,v,1,1.3011072999797761,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,0,2,2,2,,,,,6.6038444000296295,,6.592503699939698,6.6038444000296295,7.604257000028156,7.604257000028156,7.604257000028156,7.604257000028156,7.604257000028156,8.603877500048839,8.603877500048839,9.591895899968222,c,1,0.9746082999045029,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,0,3,3,3,,,,,9.60434019996319,,9.593077600002289,9.60434019996319,10.603924699942581,10.603924699942581,10.603924699942581,10.603924699942581,10.603924699942581,11.604362300015055,11.604362300015055,12.292049700045027,z,1,0.673682100023143,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,1,0,4,0,,,,,12.304304199991748,,12.292990799993277,12.304304199991748,13.304335099994205,13.304335099994205,13.304335099994205,13.304335099994205,13.304335099994205,14.30387659999542,14.30387659999542,14.909721000003628,x,1,0.5751634000334889,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,1,1,5,1,,,,,14.92067819996737,,14.911736199981533,14.92067819996737,15.920685600023717,15.920685600023717,15.920685600023717,15.920685600023717,15.920685600023717,16.937035799957812,16.937035799957812,18.008907999959774,v,1,1.0598325000610203,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
50,c,1,2,6,2,,,,,18.020980300032534,,18.010130899958313,18.020980300032534,19.03722239995841,19.03722239995841,19.03722239995841,19.03722239995841,19.03722239995841,20.020776099991053,20.020776099991053,20.708176300046034,c,1,0.6620077000698075,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-150,z,1,3,7,3,,,,,20.72096009994857,,20.709445200045593,20.72096009994857,21.72117899998557,21.72117899998557,21.72117899998557,21.72117899998557,21.72117899998557,22.72125059994869,22.72125059994869,23.326818299945444,z,1,0.5873559999745339,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
-50,x,2,0,8,0,,,,,23.337575200013816,,23.329117199988104,23.337575200013816,24.353966300026514,24.353966300026514,24.353966300026514,24.353966300026514,24.353966300026514,25.353837099974044,25.353837099974044,25.877107299980707,x,1,0.5110320000676438,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
150,v,2,1,9,1,,,,,25.88771799998358,,25.878182500018738,25.88771799998358,26.887750699999742,26.887750699999742,26.887750699999742,26.887750699999742,26.887750699999742,27.88780929998029,27.88780929998029,28.576414300012402,v,1,0.6749071000376716,None,997103,001,2024-10-17_19h57.37.916,sequence learning,2024.1.5,None,2024-10-17 19h57.47.861192 +0530,
